Date,Open,High,Low,Close,Adj Close,Volume
2006-10-27,2362.500000,2362.500000,2362.500000,2362.500000,1832.315674,0
2006-10-30,2325.000000,2375.000000,2312.500000,2325.000000,1803.231445,41312000
2006-10-31,2325.000000,2362.500000,2325.000000,2325.000000,1803.231445,72266000
2006-11-01,2350.000000,2362.500000,2325.000000,2350.000000,1822.620728,23854000
2006-11-02,2375.000000,2387.500000,2337.500000,2375.000000,1842.010986,52298000
2006-11-03,2362.500000,2400.000000,2362.500000,2362.500000,1832.315674,32060000
2006-11-06,2400.000000,2412.500000,2362.500000,2400.000000,1861.399658,49890000
2006-11-07,2425.000000,2450.000000,2412.500000,2425.000000,1880.789795,105236000
2006-11-08,2412.500000,2437.500000,2412.500000,2412.500000,1871.095581,29118000
2006-11-09,2500.000000,2500.000000,2412.500000,2500.000000,1938.958374,55760000
2006-11-10,2525.000000,2550.000000,2500.000000,2525.000000,1958.348267,49344000
2006-11-13,2400.000000,2525.000000,2400.000000,2400.000000,1861.399658,39470000
2006-11-14,2487.500000,2500.000000,2425.000000,2487.500000,1929.264160,44250000
2006-11-15,2500.000000,2512.500000,2475.000000,2500.000000,1938.958374,56944000
2006-11-16,2500.000000,2525.000000,2475.000000,2500.000000,1938.958374,48824000
2006-11-17,2500.000000,2550.000000,2500.000000,2500.000000,1938.958374,19886000
2006-11-20,2550.000000,2550.000000,2500.000000,2550.000000,1977.737305,29056000
2006-11-21,2550.000000,2575.000000,2525.000000,2575.000000,1997.127075,29314000
2006-11-22,2575.000000,2600.000000,2550.000000,2575.000000,1997.127075,47444000
2006-11-23,2600.000000,2600.000000,2575.000000,2600.000000,2016.517334,20878000
2006-11-24,2575.000000,2775.000000,2575.000000,2725.000000,2113.465332,63032000
2006-11-27,2725.000000,2775.000000,2675.000000,2725.000000,2113.465332,28014000
2006-11-28,2575.000000,2675.000000,2575.000000,2575.000000,1997.127075,41294000
2006-11-29,2625.000000,2650.000000,2600.000000,2625.000000,2035.906982,50710000
2006-11-30,2650.000000,2700.000000,2650.000000,2650.000000,2055.295898,39896000
2006-12-01,2700.000000,2700.000000,2675.000000,2700.000000,2094.074951,18290000
2006-12-04,2650.000000,2700.000000,2600.000000,2650.000000,2055.295898,16974000
2006-12-05,2675.000000,2675.000000,2625.000000,2675.000000,2074.685547,20278000
2006-12-06,2650.000000,2700.000000,2625.000000,2650.000000,2055.295898,25652000
2006-12-07,2600.000000,2650.000000,2575.000000,2600.000000,2016.517334,28210000
2006-12-08,2575.000000,2600.000000,2525.000000,2575.000000,1997.127075,77604000
2006-12-11,2550.000000,2600.000000,2550.000000,2550.000000,1977.737305,60378000
2006-12-12,2550.000000,2575.000000,2500.000000,2550.000000,1977.737305,32988000
2006-12-13,2600.000000,2600.000000,2525.000000,2600.000000,2016.517334,34392000
2006-12-14,2600.000000,2625.000000,2575.000000,2600.000000,2016.517334,34658000
2006-12-15,2600.000000,2625.000000,2575.000000,2600.000000,2016.517334,21974000
2006-12-18,2575.000000,2600.000000,2550.000000,2575.000000,1997.127075,21898000
2006-12-19,2500.000000,2575.000000,2450.000000,2500.000000,1938.958374,56230000
2006-12-20,2550.000000,2575.000000,2525.000000,2550.000000,1977.737305,38376000
2006-12-21,2575.000000,2575.000000,2550.000000,2575.000000,1997.127075,9788000
2006-12-22,2575.000000,2600.000000,2550.000000,2575.000000,1997.127075,5940000
2006-12-26,2550.000000,2575.000000,2550.000000,2550.000000,1977.737305,24242000
2006-12-27,2550.000000,2575.000000,2550.000000,2575.000000,1997.127075,7770000
2006-12-28,2575.000000,2600.000000,2550.000000,2600.000000,2016.517334,20780000
2006-12-29,2600.000000,2600.000000,2550.000000,2600.000000,2016.517334,0
2007-01-02,2625.000000,2625.000000,2575.000000,2625.000000,2035.906982,15400000
2007-01-03,2575.000000,2625.000000,2575.000000,2575.000000,1997.127075,23496000
2007-01-04,2600.000000,2600.000000,2550.000000,2600.000000,2016.517334,26830000
2007-01-05,2600.000000,2600.000000,2575.000000,2600.000000,2016.517334,14040000
2007-01-08,2625.000000,2625.000000,2575.000000,2625.000000,2035.906982,27296000
2007-01-09,2600.000000,2625.000000,2550.000000,2600.000000,2016.517334,34384000
2007-01-10,2550.000000,2550.000000,2400.000000,2450.000000,1900.179443,84858000
2007-01-11,2412.500000,2487.500000,2387.500000,2412.500000,1871.095581,44232000
2007-01-12,2400.000000,2425.000000,2300.000000,2400.000000,1861.399658,39432000
2007-01-15,2500.000000,2500.000000,2400.000000,2500.000000,1938.958374,33046000
2007-01-16,2550.000000,2575.000000,2500.000000,2550.000000,1977.737305,26208000
2007-01-17,2525.000000,2575.000000,2525.000000,2525.000000,1958.348267,25240000
2007-01-18,2600.000000,2600.000000,2525.000000,2600.000000,2016.517334,18752000
2007-01-19,2625.000000,2625.000000,2575.000000,2625.000000,2035.906982,29634000
2007-01-22,2700.000000,2700.000000,2600.000000,2700.000000,2094.074951,87114000
2007-01-23,2650.000000,2675.000000,2600.000000,2650.000000,2055.295898,51504000
2007-01-24,2650.000000,2675.000000,2575.000000,2650.000000,2055.295898,41258000
2007-01-25,2600.000000,2650.000000,2575.000000,2600.000000,2016.517334,19104000
2007-01-26,2575.000000,2575.000000,2500.000000,2575.000000,1997.127075,26460000
2007-01-29,2525.000000,2575.000000,2500.000000,2525.000000,1958.348267,48826000
2007-01-30,2575.000000,2600.000000,2525.000000,2575.000000,1997.127075,19146000
2007-01-31,2550.000000,2575.000000,2525.000000,2550.000000,1977.737305,20662000
2007-02-01,2625.000000,2625.000000,2550.000000,2625.000000,2035.906982,35722000
2007-02-02,2725.000000,2725.000000,2625.000000,2725.000000,2113.465332,78744000
2007-02-05,2650.000000,2700.000000,2625.000000,2650.000000,2055.295898,17156000
2007-02-06,2575.000000,2650.000000,2575.000000,2575.000000,1997.127075,13130000
2007-02-07,2600.000000,2600.000000,2550.000000,2600.000000,2016.517334,27292000
2007-02-08,2525.000000,2600.000000,2500.000000,2525.000000,1958.348267,31734000
2007-02-09,2500.000000,2525.000000,2450.000000,2500.000000,1938.958374,44150000
2007-02-12,2500.000000,2500.000000,2425.000000,2500.000000,1938.958374,7518000
2007-02-13,2500.000000,2500.000000,2475.000000,2500.000000,1938.958374,9724000
2007-02-14,2525.000000,2525.000000,2500.000000,2525.000000,1958.348267,24568000
2007-02-15,2600.000000,2600.000000,2550.000000,2600.000000,2016.517334,47282000
2007-02-16,2625.000000,2625.000000,2575.000000,2625.000000,2035.906982,38138000
2007-02-19,2600.000000,2600.000000,2575.000000,2600.000000,2016.517334,3336000
2007-02-20,2600.000000,2600.000000,2575.000000,2600.000000,2016.517334,1350000
2007-02-21,2625.000000,2625.000000,2575.000000,2625.000000,2035.906982,16112000
2007-02-22,2575.000000,2625.000000,2550.000000,2575.000000,1997.127075,14518000
2007-02-23,2525.000000,2575.000000,2500.000000,2525.000000,1958.348267,55158000
2007-02-26,2475.000000,2525.000000,2475.000000,2475.000000,1919.568604,16698000
2007-02-27,2475.000000,2500.000000,2462.500000,2475.000000,1919.568604,24352000
2007-02-28,2462.500000,2462.500000,2350.000000,2462.500000,1909.874390,67978000
2007-03-01,2475.000000,2512.500000,2450.000000,2475.000000,1919.568604,31880000
2007-03-02,2425.000000,2475.000000,2425.000000,2425.000000,1880.789795,84756000
2007-03-05,2400.000000,2412.500000,2387.500000,2400.000000,1861.399658,33962000
2007-03-06,2462.500000,2462.500000,2425.000000,2462.500000,1909.874390,20526000
2007-03-07,2462.500000,2475.000000,2437.500000,2462.500000,1909.874390,26496000
2007-03-08,2487.500000,2487.500000,2450.000000,2487.500000,1929.264160,17512000
2007-03-09,2475.000000,2500.000000,2475.000000,2475.000000,1919.568604,7166000
2007-03-12,2550.000000,2562.500000,2487.500000,2550.000000,1977.737305,27940000
2007-03-13,2625.000000,2625.000000,2550.000000,2625.000000,2035.906982,50252000
2007-03-14,2550.000000,2550.000000,2525.000000,2550.000000,1977.737305,19754000
2007-03-15,2525.000000,2575.000000,2525.000000,2525.000000,1958.348267,14338000
2007-03-16,2500.000000,2550.000000,2475.000000,2500.000000,1938.958374,9182000
2007-03-20,2500.000000,2525.000000,2450.000000,2500.000000,1938.958374,6018000
2007-03-21,2525.000000,2550.000000,2475.000000,2525.000000,1958.348267,6618000
2007-03-22,2600.000000,2625.000000,2550.000000,2600.000000,2016.517334,38326000
2007-03-23,2575.000000,2600.000000,2550.000000,2575.000000,1997.127075,13304000
2007-03-26,2575.000000,2575.000000,2550.000000,2575.000000,1997.127075,3734000
2007-03-27,2575.000000,2600.000000,2550.000000,2575.000000,1997.127075,24280000
2007-03-28,2575.000000,2575.000000,2550.000000,2575.000000,1997.127075,11292000
2007-03-29,2550.000000,2575.000000,2525.000000,2550.000000,1977.737305,19572000
2007-03-30,2550.000000,2575.000000,2550.000000,2550.000000,1977.737305,35172000
2007-04-02,2625.000000,2625.000000,2575.000000,2625.000000,2035.906982,25138000
2007-04-03,2725.000000,2725.000000,2625.000000,2725.000000,2113.465332,66176000
2007-04-04,2725.000000,2775.000000,2700.000000,2725.000000,2113.465332,49328000
2007-04-05,2650.000000,2750.000000,2625.000000,2650.000000,2055.295898,36596000
2007-04-09,2675.000000,2700.000000,2625.000000,2675.000000,2074.685547,25974000
2007-04-10,2700.000000,2750.000000,2650.000000,2700.000000,2094.074951,31524000
2007-04-11,2675.000000,2750.000000,2650.000000,2675.000000,2074.685547,35402000
2007-04-12,2675.000000,2700.000000,2625.000000,2675.000000,2074.685547,15104000
2007-04-13,2650.000000,2675.000000,2625.000000,2650.000000,2055.295898,16034000
2007-04-16,2650.000000,2675.000000,2650.000000,2650.000000,2055.295898,31370000
2007-04-17,2675.000000,2675.000000,2650.000000,2675.000000,2074.685547,23256000
2007-04-18,2625.000000,2675.000000,2600.000000,2625.000000,2035.906982,26624000
2007-04-19,2575.000000,2650.000000,2550.000000,2575.000000,1997.127075,23064000
2007-04-20,2625.000000,2675.000000,2600.000000,2675.000000,2074.685547,14614000
2007-04-23,2675.000000,2700.000000,2650.000000,2675.000000,2074.685547,34230000
2007-04-24,2675.000000,2675.000000,2650.000000,2675.000000,2074.685547,17784000
2007-04-25,2700.000000,2700.000000,2675.000000,2700.000000,2094.074951,11838000
2007-04-26,2675.000000,2725.000000,2675.000000,2675.000000,2074.685547,33596000
2007-04-27,2725.000000,2750.000000,2675.000000,2725.000000,2113.465332,44930000
2007-04-30,2650.000000,2725.000000,2625.000000,2650.000000,2055.295898,38428000
2007-05-01,2650.000000,2675.000000,2650.000000,2650.000000,2055.295898,16460000
2007-05-02,2650.000000,2675.000000,2650.000000,2650.000000,2055.295898,24066000
2007-05-03,2650.000000,2725.000000,2650.000000,2650.000000,2055.295898,14062000
2007-05-04,2675.000000,2700.000000,2650.000000,2700.000000,2094.074951,18386000
2007-05-07,2725.000000,2725.000000,2675.000000,2725.000000,2113.465332,11978000
2007-05-08,2700.000000,2725.000000,2675.000000,2700.000000,2094.074951,14212000
2007-05-09,2725.000000,2725.000000,2650.000000,2725.000000,2113.465332,26810000
2007-05-10,2700.000000,2725.000000,2675.000000,2700.000000,2094.074951,33000000
2007-05-11,2625.000000,2700.000000,2625.000000,2625.000000,2035.906982,18466000
2007-05-14,2725.000000,2750.000000,2650.000000,2725.000000,2113.465332,42688000
2007-05-15,2725.000000,2725.000000,2700.000000,2725.000000,2113.465332,17076000
2007-05-16,2775.000000,2775.000000,2725.000000,2775.000000,2152.243896,39886000
2007-05-21,2750.000000,2775.000000,2700.000000,2750.000000,2132.854248,28314000
2007-05-22,2750.000000,2775.000000,2725.000000,2750.000000,2132.854248,24706000
2007-05-23,2775.000000,2825.000000,2750.000000,2775.000000,2152.243896,91298000
2007-05-24,2750.000000,2750.000000,2700.000000,2750.000000,2132.854248,29400000
2007-05-25,2675.000000,2700.000000,2650.000000,2675.000000,2074.685547,43104000
2007-05-28,2750.000000,2750.000000,2675.000000,2750.000000,2132.854248,19368000
2007-05-29,2675.000000,2750.000000,2675.000000,2675.000000,2074.685547,10626000
2007-05-30,2650.000000,2700.000000,2600.000000,2650.000000,2055.295898,42470000
2007-05-31,2675.000000,2675.000000,2575.000000,2625.000000,2035.906982,81030000
2007-06-04,2650.000000,2650.000000,2600.000000,2650.000000,2055.295898,84856000
2007-06-05,2700.000000,2700.000000,2625.000000,2700.000000,2094.074951,62034000
2007-06-06,2700.000000,2700.000000,2675.000000,2700.000000,2094.074951,60246000
2007-06-07,2750.000000,2750.000000,2675.000000,2750.000000,2132.854248,66588000
2007-06-08,2700.000000,2725.000000,2675.000000,2700.000000,2094.074951,119800000
2007-06-11,2650.000000,2700.000000,2600.000000,2650.000000,2100.018555,61884000
2007-06-12,2675.000000,2675.000000,2625.000000,2675.000000,2119.830322,32222000
2007-06-13,2675.000000,2675.000000,2625.000000,2675.000000,2119.830322,22530000
2007-06-14,2675.000000,2675.000000,2650.000000,2675.000000,2119.830322,13292000
2007-06-15,2675.000000,2675.000000,2650.000000,2675.000000,2119.830322,59340000
2007-06-18,2700.000000,2700.000000,2650.000000,2700.000000,2139.641602,58524000
2007-06-19,2675.000000,2700.000000,2650.000000,2675.000000,2119.830322,31482000
2007-06-20,2675.000000,2675.000000,2650.000000,2675.000000,2119.830322,24858000
2007-06-21,2675.000000,2675.000000,2625.000000,2675.000000,2119.830322,54246000
2007-06-22,2675.000000,2675.000000,2625.000000,2675.000000,2119.830322,14520000
2007-06-25,2675.000000,2675.000000,2625.000000,2675.000000,2119.830322,24692000
2007-06-26,2675.000000,2675.000000,2650.000000,2675.000000,2119.830322,32088000
2007-06-27,2675.000000,2675.000000,2625.000000,2675.000000,2119.830322,29754000
2007-06-28,2650.000000,2675.000000,2650.000000,2650.000000,2100.018555,43886000
2007-06-29,2650.000000,2750.000000,2650.000000,2725.000000,2159.453613,151818000
2007-07-02,2750.000000,2775.000000,2725.000000,2750.000000,2179.264404,39732000
2007-07-03,2750.000000,2900.000000,2750.000000,2900.000000,2298.133789,217114000
2007-07-04,2875.000000,2925.000000,2850.000000,2875.000000,2278.322510,54682000
2007-07-05,2875.000000,2900.000000,2850.000000,2875.000000,2278.322510,21836000
2007-07-06,2850.000000,2850.000000,2775.000000,2850.000000,2258.511475,63796000
2007-07-09,2925.000000,2925.000000,2825.000000,2925.000000,2317.945313,74792000
2007-07-10,2950.000000,2950.000000,2875.000000,2950.000000,2337.756592,56136000
2007-07-11,2925.000000,2925.000000,2875.000000,2925.000000,2317.945313,28590000
